Date,2023,2022,2021,2020,2019
5/2/2023,"1,992,142","1,827,782","1,134,103","130,601","2,106,597"
5/1/2023,"2,411,749","2,146,993","1,463,672","163,692","2,470,969"
4/30/2023,"2,505,077","2,279,287","1,626,962","170,254","2,512,598"
4/29/2023,"1,954,022","1,885,701","1,335,535","134,261","1,968,278"
4/28/2023,"2,503,233","2,286,852","1,558,553","171,563","2,546,029"
4/27/2023,"2,517,253","2,267,171","1,526,681","154,695","2,499,461"
4/26/2023,"2,178,370","1,999,806","1,184,326","119,629","2,256,442"
4/25/2023,"2,011,519","1,870,392","1,077,199","110,913","2,102,068"
4/24/2023,"2,417,427","2,189,296","1,369,410","119,854","2,412,770"
4/23/2023,"2,564,762","2,298,561","1,571,220","128,875","2,506,809"
4/22/2023,"2,056,341","1,915,707","1,259,724","114,459","1,990,464"
4/21/2023,"2,585,925","2,309,474","1,521,393","123,464","2,521,897"
4/20/2023,"2,510,568","2,288,508","1,509,649","111,627","2,526,961"
4/19/2023,"2,214,841","2,034,403","1,164,099","98,968","2,254,209"
4/18/2023,"2,065,326","1,988,681","1,082,443","92,859","2,227,475"
4/17/2023,"2,446,947","2,292,729","1,412,500","99,344","2,594,171"
4/16/2023,"2,575,220","2,214,376","1,572,383","105,382","2,356,802"
4/15/2023,"2,150,251","1,903,886","1,277,815","97,236","1,988,205"
4/14/2023,"2,532,863","2,315,430","1,468,218","106,385","2,457,133"
4/13/2023,"2,437,708","2,354,474","1,491,435","95,085","2,616,158"
4/12/2023,"2,150,587","2,053,892","1,152,703","90,784","2,317,381"
4/11/2023,"2,123,254","1,883,285","1,085,034","87,534","2,208,688"
4/10/2023,"2,511,861","2,188,196","1,468,972","102,184","2,484,580"
4/9/2023,"2,375,705","2,300,909","1,561,495","90,510","2,446,801"
4/8/2023,"2,093,075","1,959,523","1,378,237","93,645","2,059,142"
4/7/2023,"2,475,368","2,327,849","1,549,181","108,977","2,590,499"
4/6/2023,"2,508,487","2,227,151","1,510,829","104,090","2,487,398"
4/5/2023,"2,199,464","1,982,006","1,230,939","94,931","2,229,276"
4/4/2023,"2,066,489","1,850,647","1,195,306","97,130","2,091,056"
4/3/2023,"2,384,806","2,141,153","1,561,959","108,310","2,384,091"
4/2/2023,"2,528,489","2,206,569","1,543,474","122,029","2,462,929"
4/1/2023,"2,239,314","1,922,516","1,397,958","118,302","2,011,715"
3/31/2023,"2,521,659","2,287,653","1,580,785","129,763","2,476,884"
3/30/2023,"2,462,648","2,219,675","1,562,239","124,021","2,411,500"
3/29/2023,"2,206,337","1,887,509","1,278,113","136,023","2,151,626"
3/28/2023,"2,033,766","1,747,597","1,130,520","146,348","2,026,256"
3/27/2023,"2,374,441","2,141,002","1,406,234","154,080","2,360,053"
3/26/2023,"2,514,762","2,313,481","1,574,228","180,002","2,510,294"
3/25/2023,"2,208,254","2,022,231","1,408,198","184,027","2,172,920"
3/24/2023,"2,508,182","2,304,825","1,535,156","199,644","2,538,384"
3/23/2023,"2,441,286","2,255,090","1,444,744","203,858","2,487,162"
3/22/2023,"2,189,372","1,971,979","1,164,954","239,234","2,273,811"
3/21/2023,"2,026,078","1,859,077","1,076,453","279,018","2,151,913"
3/20/2023,"2,399,550","2,177,240","1,360,290","331,431","2,434,370"
3/19/2023,"2,592,384","2,379,182","1,543,136","454,516","2,542,643"
3/18/2023,"2,278,790","2,108,715","1,373,259","548,132","2,227,181"
3/17/2023,"2,517,194","2,319,876","1,477,841","593,167","2,559,307"
3/16/2023,"2,461,141","2,231,375","1,413,141","620,883","2,513,231"
3/15/2023,"2,260,097","2,000,210","1,146,539","779,631","2,320,885"
3/14/2023,"2,022,912","1,870,647","1,092,548","953,699","2,177,929"
3/13/2023,"2,390,797","2,203,639","1,267,345","1,257,823","2,465,709"
